site,date,depth,temp
LTM,5/30/2015,1,13.50483333
LTM,5/30/2015,2,27.00558333
LTM,5/30/2015,4,26.9995
LTM,5/30/2015,5,26.99675
LTM,5/30/2015,6,26.99525
LTM,5/30/2015,7,26.994
LTM,5/30/2015,8,26.99275
LTM,5/30/2015,9,26.9905
LTM,5/30/2015,10,26.988
LTM,5/30/2015,11,26.9865
LTM,5/30/2015,12,26.9845
LTM,5/30/2015,13,26.982
LTM,5/30/2015,15,26.98075
LTM,5/30/2015,17,26.97925
LTM,5/30/2015,18,26.97625
LTM,5/30/2015,20,26.97225
LTM,5/30/2015,22,26.969
LTM,5/30/2015,23,26.96725
LTM,5/30/2015,24,26.96475
LTM,5/30/2015,25,26.9615
LTM,5/30/2015,27,26.9575
LTM,5/30/2015,29,26.95075
LTM,5/30/2015,30,26.94425
LTM,5/30/2015,32,26.9405
LTM,5/30/2015,33,26.9385
LTM,5/30/2015,34,26.937
LTM,5/30/2015,35,26.9355
LTM,5/30/2015,37,26.934
LTM,5/30/2015,38,26.932
LTM,5/30/2015,39,26.9295
LTM,5/30/2015,40,26.926
LTM,5/30/2015,41,26.9205
LTM,5/30/2015,43,26.91
LTM,5/30/2015,44,26.8875
LTM,5/30/2015,45,26.8455
LTM,5/30/2015,46,26.7755
LTM,5/30/2015,47,26.686
LTM,5/30/2015,48,26.5915
LTM,5/30/2015,50,26.46675
LTM,5/30/2015,53,26.29025
LTM,5/30/2015,55,26.13
LTM,5/30/2015,56,26.034
LTM,5/30/2015,57,25.954
LTM,5/30/2015,58,25.8585
LTM,5/30/2015,60,25.7585
LTM,5/30/2015,61,25.6685
LTM,5/30/2015,63,25.585
LTM,5/30/2015,64,25.5035
LTM,5/30/2015,66,25.41125
LTM,5/30/2015,68,25.32675
LTM,5/30/2015,70,25.277
LTM,5/30/2015,71,25.2405
LTM,5/30/2015,73,25.18875
LTM,5/30/2015,74,25.12225
LTM,5/30/2015,76,25.0695
LTM,5/30/2015,77,25.0295
LTM,5/30/2015,78,24.9875
LTM,5/30/2015,81,24.942
LTM,5/30/2015,82,24.8935
LTM,5/30/2015,84,24.853
LTM,5/30/2015,85,24.8235
LTM,5/30/2015,86,24.7995
LTM,5/30/2015,88,24.78
LTM,5/30/2015,89,24.7635
LTM,5/30/2015,90,24.752
LTM,5/30/2015,92,24.745
LTM,5/30/2015,93,24.74
LTM,5/30/2015,94,24.733
LTM,5/30/2015,96,24.7215
LTM,5/30/2015,97,24.70325
LTM,5/30/2015,98,24.67775
